Address:,USB0::0x0957::0x179B::MY54313431::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY54313431,,-0.43125,-0.00468592985998839,-0.0235866870498285,
Firmware Version:,02.65.2021030741,,-0.43020833334,-0.00468592985998839,-0.0223304056562483,
Start Time:,2023-06-04 12:57:54.353,,-0.42916666668,-0.00468592985998839,-0.0235866870498285,
,,,-0.42812500002,-0.00468592985998839,-0.0235866870498285,
Analog Sample Count:,960,,-0.42708333336,-0.00468592985998839,-0.0223304056562483,
Function Sample Count:,0,,-0.4260416667,-0.00481155799934641,-0.0223304056562483,
Waveform Memory Sample Count:,0,,-0.42500000004,-0.00481155799934641,-0.0235866870498285,
Digital Sample Count:,0,,-0.42395833338,-0.00481155799934641,-0.0235866870498285,
,,,-0.42291666672,-0.00468592985998839,-0.0223304056562483,
Setup Text Information:,,,-0.42187500006,-0.00481155799934641,-0.0235866870498285,
ANALOG,,,-0.4208333334,-0.00481155799934641,-0.0223304056562483,
Channel 1,,,-0.41979166674,-0.00481155799934641,-0.0223304056562483,
Scale,50 mV/,,-0.41875000008,-0.00481155799934641,-0.0235866870498285,
Pos,-17.5 mV,,-0.41770833342,-0.00481155799934641,-0.0223304056562483,
Coup,,,-0.41666666676,-0.00481155799934641,-0.0223304056562483,
BW,Off,,-0.4156250001,-0.00481155799934641,-0.0223304056562483,
Inv,Off,,-0.41458333344,-0.00493718613870442,-0.0235866870498285,
Imp,1M Ohm,,-0.41354166678,-0.00481155799934641,-0.0223304056562483,
Trace Label,1,,-0.41250000012,-0.00493718613870442,-0.0223304056562483,
Probe,1,,-0.41145833346,-0.00481155799934641,-0.0235866870498285,
Skew,0 s,,-0.4104166668,-0.00493718613870442,-0.0223304056562483,
,,,-0.40937500014,-0.00493718613870442,-0.0235866870498285,
Channel 2,,,-0.40833333348,-0.00481155799934641,-0.0235866870498285,
Scale,500 mV/,,-0.40729166682,-0.00493718613870442,-0.0235866870498285,
Pos,193.75 mV,,-0.40625000016,-0.00493718613870442,-0.0235866870498285,
Coup,,,-0.4052083335,-0.00493718613870442,-0.0235866870498285,
BW,Off,,-0.40416666684,-0.00493718613870442,-0.0235866870498285,
Inv,Off,,-0.40312500018,-0.00493718613870442,-0.0235866870498285,
