Address:,USB0::0x0957::0x179B::MY54313431::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY54313431,,-0.43125,-0.00456030172063038,-0.0248429684434086,
Firmware Version:,02.65.2021030741,,-0.43020833334,-0.00456030172063038,-0.0248429684434086,
Start Time:,2023-06-04 13:41:42.911,,-0.42916666668,-0.00456030172063038,-0.0235866870498285,
,,,-0.42812500002,-0.00456030172063038,-0.0235866870498285,
Analog Sample Count:,960,,-0.42708333336,-0.00456030172063038,-0.0235866870498285,
Function Sample Count:,0,,-0.4260416667,-0.00456030172063038,-0.0235866870498285,
Waveform Memory Sample Count:,0,,-0.42500000004,-0.00456030172063038,-0.0235866870498285,
Digital Sample Count:,0,,-0.42395833338,-0.00456030172063038,-0.0248429684434086,
,,,-0.42291666672,-0.00456030172063038,-0.0248429684434086,
Setup Text Information:,,,-0.42187500006,-0.00456030172063038,-0.0235866870498285,
ANALOG,,,-0.4208333334,-0.00456030172063038,-0.0248429684434086,
Channel 1,,,-0.41979166674,-0.00468592985998839,-0.0235866870498285,
Scale,50 mV/,,-0.41875000008,-0.00468592985998839,-0.0248429684434086,
Pos,-17.5 mV,,-0.41770833342,-0.00468592985998839,-0.0235866870498285,
Coup,,,-0.41666666676,-0.00456030172063038,-0.0235866870498285,
BW,Off,,-0.4156250001,-0.00468592985998839,-0.0248429684434086,
Inv,Off,,-0.41458333344,-0.00468592985998839,-0.0248429684434086,
Imp,1M Ohm,,-0.41354166678,-0.00468592985998839,-0.0235866870498285,
Trace Label,1,,-0.41250000012,-0.00468592985998839,-0.0235866870498285,
Probe,1,,-0.41145833346,-0.00468592985998839,-0.0235866870498285,
Skew,0 s,,-0.4104166668,-0.00468592985998839,-0.0235866870498285,
,,,-0.40937500014,-0.00468592985998839,-0.0235866870498285,
Channel 2,,,-0.40833333348,-0.00468592985998839,-0.0235866870498285,
Scale,500 mV/,,-0.40729166682,-0.00468592985998839,-0.0248429684434086,
Pos,193.75 mV,,-0.40625000016,-0.00468592985998839,-0.0235866870498285,
Coup,,,-0.4052083335,-0.00468592985998839,-0.0248429684434086,
BW,Off,,-0.40416666684,-0.00468592985998839,-0.0260992498369887,
Inv,Off,,-0.40312500018,-0.00468592985998839,-0.0235866870498285,
Imp,1M Ohm,,-0.40208333352,-0.00481155799934641,-0.0235866870498285,
Trace Label,2,,-0.40104166686,-0.00468592985998839,-0.0248429684434086,
Probe,1,,-0.4000000002,-0.00481155799934641,-0.0248429684434086,
Skew,0 s,,-0.39895833354,-0.00481155799934641,-0.0235866870498285,
,,,-0.39791666688,-0.00481155799934641,-0.0248429684434086,
MATH,,,-0.39687500022,-0.00481155799934641,-0.0248429684434086,
REFERENCE WAVEFORM,,,-0.39583333356,-0.00481155799934641,-0.0248429684434086,
TRIGGER,,,-0.3947916669,-0.00481155799934641,-0.0248429684434086,
Sweep Mode,AUTO,,-0.39375000024,-0.00493718613870442,-0.0235866870498285,
Coup,DC,,-0.39270833358,-0.00493718613870442,-0.0235866870498285,
Noise Rej,Off,,-0.39166666692,-0.00481155799934641,-0.0248429684434086,
HF Rej,Off,,-0.39062500026,-0.00481155799934641,-0.0235866870498285,
Holdoff,40.0 ns,,-0.3895833336,-0.00493718613870442,-0.0235866870498285,
Mode,GLIT,,-0.38854166694,-0.00493718613870442,-0.0248429684434086,
Source,CHAN1,,-0.38750000028,-0.00493718613870442,-0.0235866870498285,
Slope,POS,,-0.38645833362,-0.00493718613870442,-0.0248429684434086,
Level,-5.2 mV V,,-0.38541666696,-0.00493718613870442,-0.0248429684434086,
,,,-0.3843750003,-0.00493718613870442,-0.0248429684434086,
HORIZONTAL,,,-0.38333333364,-0.00493718613870442,-0.0248429684434086,
Mode,MAIN,,-0.38229166698,-0.00493718613870442,-0.0235866870498285,
Ref,CENT,,-0.38125000032,-0.00493718613870442,-0.0248429684434086,
Main Scale,100 ms/,,-0.38020833366,-0.00506281427806243,-0.0248429684434086,
Main Delay,69 ms,,-0.379166667,-0.00506281427806243,-0.0235866870498285,
,,,-0.37812500034,-0.00506281427806243,-0.0235866870498285,
ACQUISITION,,,-0.37708333368,-0.00493718613870442,-0.0248429684434086,
Mode,HRES,,-0.37604166702,-0.00506281427806243,-0.0248429684434086,
RealTime,On,,-0.37500000036,-0.00506281427806243,-0.0248429684434086,
Vectors,On,,-0.3739583337,-0.00506281427806243,-0.0235866870498285,
Persistence,Off,,-0.37291666704,-0.00506281427806243,-0.0235866870498285,
,,,-0.37187500038,-0.00506281427806243,-0.0248429684434086,
,,,-0.37083333372,-0.00518844241742045,-0.0235866870498285,
,,,-0.36979166706,-0.00506281427806243,-0.0248429684434086,
,,,-0.3687500004,-0.00506281427806243,-0.0235866870498285,
,,,-0.36770833374,-0.00506281427806243,-0.0235866870498285,
,,,-0.36666666708,-0.00518844241742045,-0.0248429684434086,
,,,-0.36562500042,-0.00518844241742045,-0.0235866870498285,
,,,-0.36458333376,-0.00518844241742045,-0.0248429684434086,
,,,-0.3635416671,-0.00518844241742045,-0.0248429684434086,
,,,-0.36250000044,-0.00518844241742045,-0.0235866870498285,
,,,-0.36145833378,-0.00518844241742045,-0.0248429684434086,
,,,-0.36041666712,-0.00531407055677846,-0.0248429684434086,
,,,-0.35937500046,-0.00531407055677846,-0.0248429684434086,
,,,-0.3583333338,-0.00531407055677846,-0.0248429684434086,
,,,-0.35729166714,-0.00531407055677846,-0.0248429684434086,
,,,-0.35625000048,-0.00531407055677846,-0.0248429684434086,
,,,-0.35520833382,-0.00531407055677846,-0.0248429684434086,
,,,-0.35416666716,-0.00543969869613647,-0.0235866870498285,
,,,-0.3531250005,-0.00543969869613647,-0.0235866870498285,
,,,-0.35208333384,-0.00543969869613647,-0.0248429684434086,
,,,-0.35104166718,-0.00543969869613647,-0.0235866870498285,
,,,-0.35000000052,-0.00543969869613647,-0.0248429684434086,
,,,-0.34895833386,-0.00543969869613647,-0.0235866870498285,
,,,-0.3479166672,-0.00543969869613647,-0.0235866870498285,
,,,-0.34687500054,-0.00543969869613647,-0.0248429684434086,
,,,-0.34583333388,-0.00543969869613647,-0.0235866870498285,
,,,-0.34479166722,-0.00556532683549449,-0.0248429684434086,
,,,-0.34375000056,-0.00556532683549449,-0.0235866870498285,
,,,-0.3427083339,-0.00556532683549449,-0.0235866870498285,
,,,-0.34166666724,-0.00556532683549449,-0.0248429684434086,
,,,-0.34062500058,-0.0056909549748525,-0.0235866870498285,
,,,-0.33958333392,-0.0056909549748525,-0.0235866870498285,
,,,-0.33854166726,-0.0056909549748525,-0.0235866870498285,
,,,-0.3375000006,-0.00556532683549449,-0.0235866870498285,
,,,-0.33645833394,-0.0056909549748525,-0.0235866870498285,
,,,-0.33541666728,-0.0056909549748525,-0.0235866870498285,
,,,-0.33437500062,-0.0056909549748525,-0.0235866870498285,
,,,-0.33333333396,-0.00581658311421052,-0.0235866870498285,
,,,-0.3322916673,-0.00581658311421052,-0.0248429684434086,
,,,-0.33125000064,-0.00581658311421052,-0.0248429684434086,
,,,-0.33020833398,-0.00581658311421052,-0.0235866870498285,
,,,-0.32916666732,-0.00581658311421052,-0.0235866870498285,
,,,-0.32812500066,-0.00581658311421052,-0.0235866870498285,
,,,-0.327083334,-0.00581658311421052,-0.0223304056562483,
,,,-0.32604166734,-0.00594221125356853,-0.0248429684434086,
,,,-0.32500000068,-0.00594221125356853,-0.0235866870498285,
,,,-0.32395833402,-0.00594221125356853,-0.0235866870498285,
,,,-0.32291666736,-0.00594221125356853,-0.0235866870498285,
,,,-0.3218750007,-0.00606783939292654,-0.0235866870498285,
,,,-0.32083333404,-0.00606783939292654,-0.0235866870498285,
,,,-0.31979166738,-0.00619346753228456,-0.0235866870498285,
,,,-0.31875000072,-0.00606783939292654,-0.0235866870498285,
,,,-0.31770833406,-0.00606783939292654,-0.0235866870498285,
,,,-0.3166666674,-0.00619346753228456,-0.0248429684434086,
,,,-0.31562500074,-0.00619346753228456,-0.0235866870498285,
,,,-0.31458333408,-0.00619346753228456,-0.0235866870498285,
,,,-0.31354166742,-0.00631909567164257,-0.0248429684434086,
,,,-0.31250000076,-0.00631909567164257,-0.0248429684434086,
,,,-0.3114583341,-0.00631909567164257,-0.0235866870498285,
,,,-0.31041666744,-0.00631909567164257,-0.0223304056562483,
,,,-0.30937500078,-0.00644472381100059,-0.0235866870498285,
,,,-0.30833333412,-0.00644472381100059,-0.0235866870498285,
,,,-0.30729166746,-0.00644472381100059,-0.0235866870498285,
,,,-0.3062500008,-0.00644472381100059,-0.0235866870498285,
,,,-0.30520833414,-0.0065703519503586,-0.0248429684434086,
,,,-0.30416666748,-0.0065703519503586,-0.0235866870498285,
,,,-0.30312500082,-0.0065703519503586,-0.0235866870498285,
,,,-0.30208333416,-0.0065703519503586,-0.0248429684434086,
,,,-0.3010416675,-0.00669598008971661,-0.0235866870498285,
,,,-0.30000000084,-0.00669598008971661,-0.0235866870498285,
,,,-0.29895833418,-0.00669598008971661,-0.0235866870498285,
,,,-0.29791666752,-0.00682160822907463,-0.0235866870498285,
,,,-0.29687500086,-0.00669598008971661,-0.0248429684434086,
,,,-0.2958333342,-0.00682160822907463,-0.0235866870498285,
,,,-0.29479166754,-0.00682160822907463,-0.0235866870498285,
,,,-0.29375000088,-0.00694723636843264,-0.0235866870498285,
,,,-0.29270833422,-0.00694723636843264,-0.0235866870498285,
,,,-0.29166666756,-0.00694723636843264,-0.0235866870498285,
,,,-0.2906250009,-0.00707286450779065,-0.0235866870498285,
,,,-0.28958333424,-0.00707286450779065,-0.0235866870498285,
,,,-0.28854166758,-0.00707286450779065,-0.0235866870498285,
,,,-0.28750000092,-0.00707286450779065,-0.0235866870498285,
,,,-0.28645833426,-0.00719849264714867,-0.0248429684434086,
,,,-0.2854166676,-0.00719849264714867,-0.0235866870498285,
,,,-0.28437500094,-0.00732412078650668,-0.0248429684434086,
,,,-0.28333333428,-0.00732412078650668,-0.0235866870498285,
,,,-0.28229166762,-0.0074497489258647,-0.0235866870498285,
,,,-0.28125000096,-0.00732412078650668,-0.0235866870498285,
,,,-0.2802083343,-0.0074497489258647,-0.0248429684434086,
,,,-0.27916666764,-0.0074497489258647,-0.0248429684434086,
,,,-0.27812500098,-0.0074497489258647,-0.0235866870498285,
