Address:,USB0::0x0957::0x179B::MY59127609::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127609,,-0.19575,-0.00317713571712375,-0.00697235960979015,
Firmware Version:,02.65.2021030741,,-0.195145833335,-0.00325251260073856,-0.00571607833262533,
Start Time:,2023-02-14 14:32:52.664,,-0.19454166667,-0.00325251260073856,-0.00634421897120774,
,,,-0.193937500005,-0.00325251260073856,-0.00634421897120774,
,,,-0.19333333334,-0.00325251260073856,-0.00634421897120774,
,,,-0.192729166675,-0.00332788948435336,-0.00697235960979015,
,,,-0.19212500001,-0.00332788948435336,-0.00697235960979015,
,,,-0.191520833345,-0.00340326636796817,-0.00571607833262533,
,,,-0.19091666668,-0.00340326636796817,-0.00634421897120774,
,,,-0.190312500015,-0.00340326636796817,-0.00634421897120774,
,,,-0.18970833335,-0.00340326636796817,-0.00634421897120774,
,,,-0.189104166685,-0.00347864325158298,-0.00571607833262533,
,,,-0.18850000002,-0.00347864325158298,-0.00571607833262533,
,,,-0.187895833355,-0.00347864325158298,-0.00571607833262533,
,,,-0.18729166669,-0.00355402013519779,-0.00697235960979015,
,,,-0.186687500025,-0.00355402013519779,-0.00634421897120774,
,,,-0.18608333336,-0.0036293970188126,-0.00634421897120774,
,,,-0.185479166695,-0.0036293970188126,-0.00634421897120774,
,,,-0.18487500003,-0.0036293970188126,-0.00697235960979015,
,,,-0.184270833365,-0.00370477390242741,-0.00697235960979015,
,,,-0.1836666667,-0.00370477390242741,-0.00697235960979015,
,,,-0.183062500035,-0.00370477390242741,-0.00508793769404292,
,,,-0.18245833337,-0.00370477390242741,-0.00760050024837255,
,,,-0.181854166705,-0.00378015078604221,-0.00760050024837255,
,,,-0.18125000004,-0.00378015078604221,-0.00634421897120774,
,,,-0.180645833375,-0.00385552766965702,-0.00760050024837255,
,,,-0.18004166671,-0.00385552766965702,-0.00571607833262533,
,,,-0.179437500045,-0.00385552766965702,-0.00634421897120774,
,,,-0.17883333338,-0.00393090455327183,-0.00571607833262533,
,,,-0.178229166715,-0.00393090455327183,-0.00634421897120774,
,,,-0.17762500005,-0.00400628143688664,-0.00508793769404292,
,,,-0.177020833385,-0.00400628143688664,-0.00508793769404292,
,,,-0.17641666672,-0.00400628143688664,-0.00634421897120774,
,,,-0.175812500055,-0.00408165832050145,-0.00634421897120774,
,,,-0.17520833339,-0.00408165832050145,-0.00634421897120774,
,,,-0.174604166725,-0.00408165832050145,-0.00571607833262533,
,,,-0.17400000006,-0.00415703520411626,-0.00634421897120774,
,,,-0.173395833395,-0.00415703520411626,-0.00634421897120774,
,,,-0.17279166673,-0.00415703520411626,-0.00571607833262533,
,,,-0.172187500065,-0.00415703520411626,-0.00571607833262533,
,,,-0.1715833334,-0.00423241208773106,-0.00634421897120774,
,,,-0.170979166735,-0.00430778897134587,-0.00634421897120774,
,,,-0.17037500007,-0.00438316585496068,-0.00634421897120774,
,,,-0.169770833405,-0.00438316585496068,-0.00697235960979015,
,,,-0.16916666674,-0.00445854273857549,-0.00571607833262533,
,,,-0.168562500075,-0.00445854273857549,-0.00634421897120774,
,,,-0.16795833341,-0.00445854273857549,-0.00634421897120774,
,,,-0.167354166745,-0.00460929650580511,-0.00697235960979015,
,,,-0.16675000008,-0.0045339196221903,-0.00697235960979015,
,,,-0.166145833415,-0.00460929650580511,-0.00634421897120774,
,,,-0.16554166675,-0.00468467338941991,-0.00760050024837255,
,,,-0.164937500085,-0.00468467338941991,-0.00634421897120774,
,,,-0.16433333342,-0.00468467338941991,-0.00634421897120774,
,,,-0.163729166755,-0.00476005027303472,-0.00760050024837255,
,,,-0.16312500009,-0.00483542715664953,-0.00634421897120774,
,,,-0.162520833425,-0.00483542715664953,-0.00697235960979015,
,,,-0.16191666676,-0.00483542715664953,-0.00697235960979015,
,,,-0.161312500095,-0.00491080404026434,-0.00822864088695496,
,,,-0.16070833343,-0.00498618092387915,-0.00760050024837255,
,,,-0.160104166765,-0.00498618092387915,-0.00697235960979015,
,,,-0.1595000001,-0.00498618092387915,-0.00697235960979015,
,,,-0.158895833435,-0.00506155780749395,-0.00634421897120774,
,,,-0.15829166677,-0.00513693469110876,-0.00634421897120774,
,,,-0.157687500105,-0.00513693469110876,-0.00634421897120774,
,,,-0.15708333344,-0.00521231157472357,-0.00697235960979015,
,,,-0.156479166775,-0.00528768845833838,-0.00697235960979015,
,,,-0.15587500011,-0.00528768845833838,-0.00634421897120774,
,,,-0.155270833445,-0.00536306534195319,-0.00697235960979015,
,,,-0.15466666678,-0.005438442225568,-0.00634421897120774,
,,,-0.154062500115,-0.0055138191091828,-0.00634421897120774,
,,,-0.15345833345,-0.0055138191091828,-0.00760050024837255,
,,,-0.152854166785,-0.00558919599279761,-0.00697235960979015,
,,,-0.15225000012,-0.00558919599279761,-0.00571607833262533,
,,,-0.151645833455,-0.00566457287641242,-0.00571607833262533,
,,,-0.15104166679,-0.00573994976002723,-0.00760050024837255,
,,,-0.150437500125,-0.00581532664364204,-0.00697235960979015,
,,,-0.14983333346,-0.00589070352725685,-0.00634421897120774,
,,,-0.149229166795,-0.00589070352725685,-0.00634421897120774,
,,,-0.14862500013,-0.00596608041087165,-0.00634421897120774,
,,,-0.148020833465,-0.00596608041087165,-0.00634421897120774,
,,,-0.1474166668,-0.00604145729448646,-0.00760050024837255,
,,,-0.146812500135,-0.00611683417810127,-0.00760050024837255,
,,,-0.14620833347,-0.00619221106171608,-0.00697235960979015,
,,,-0.145604166805,-0.00619221106171608,-0.00760050024837255,
,,,-0.14500000014,-0.00626758794533089,-0.00634421897120774,
,,,-0.144395833475,-0.0063429648289457,-0.00571607833262533,
,,,-0.14379166681,-0.0064183417125605,-0.00634421897120774,
,,,-0.143187500145,-0.0064183417125605,-0.00697235960979015,
,,,-0.14258333348,-0.00649371859617531,-0.00697235960979015,
,,,-0.141979166815,-0.00656909547979012,-0.00760050024837255,
